Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
Meg22_46_Bin_204_scaffold_100408_2	GH33(28-354)	-	-	N	1
Meg22_46_Bin_204_scaffold_100408_3	GH165(4-438)	-	-	N	1
Meg22_46_Bin_204_scaffold_10050_6	GH51(176-631)	GH51(17)	-	N	2
Meg22_46_Bin_204_scaffold_10056_2	GT2_Glycos_transf_2(11-162)	GT2(61)	-	N	2
Meg22_46_Bin_204_scaffold_100588_5	GH163(122-388)	-	-	N	1
Meg22_46_Bin_204_scaffold_10155_22	GH163(240-507)	-	-	N	1
Meg22_46_Bin_204_scaffold_10181_3	PL10_3(445-570)	-	PL10	N	2
Meg22_46_Bin_204_scaffold_10181_6	GH109(4-108)	-	-	N	1
Meg22_46_Bin_204_scaffold_102385_1	GH151(27-152)	-	-	N	1
Meg22_46_Bin_204_scaffold_102385_2	CE12(44-227)	-	-	N	1
Meg22_46_Bin_204_scaffold_10249_5	GH84(436-665)	-	-	N	1
Meg22_46_Bin_204_scaffold_10249_7	PL12(564-687)	-	-	N	1
Meg22_46_Bin_204_scaffold_106065_2	GH163(219-473)	-	-	N	1
Meg22_46_Bin_204_scaffold_107183_1	PL15(626-752)	-	-	N	1
Meg22_46_Bin_204_scaffold_107947_2	GH109(6-117)	-	-	N	1
Meg22_46_Bin_204_scaffold_108069_1	GH156(84-344)	-	-	N	1
Meg22_46_Bin_204_scaffold_108324_2	CBM9(144-339)	-	-	N	1
Meg22_46_Bin_204_scaffold_111205_4	GH78(138-647)	-	-	N	1
Meg22_46_Bin_204_scaffold_111405_2	GH39(87-449)	-	-	N	1
Meg22_46_Bin_204_scaffold_11469_3	GH32(14-293)	GH32(12)	GH32	N	3
Meg22_46_Bin_204_scaffold_115093_1	CBM66(34-189)+GH33(224-507)	-	-	N	1
Meg22_46_Bin_204_scaffold_117578_1	CE4(99-179)	-	-	N	1
Meg22_46_Bin_204_scaffold_117767_3	GH163(211-460)	-	-	N	1
Meg22_46_Bin_204_scaffold_12018_4	GH141(373-679)	-	GH0	N	2
Meg22_46_Bin_204_scaffold_12018_5	GH163(280-534)	-	-	N	1
Meg22_46_Bin_204_scaffold_12018_6	GH36(57-628)	-	GH36	N	2
Meg22_46_Bin_204_scaffold_12018_7	CE8(31-243)	-	-	N	1
Meg22_46_Bin_204_scaffold_12286_4	CE9(6-388)	-	-	N	1
Meg22_46_Bin_204_scaffold_12317_3	CBM9(39-195)	-	-	N	1
Meg22_46_Bin_204_scaffold_12317_4	CBM9(61-222)	-	-	N	1
Meg22_46_Bin_204_scaffold_123374_2	PL15(282-413)	-	-	N	1
Meg22_46_Bin_204_scaffold_1233_8	GH163(218-476)	-	-	N	1
Meg22_46_Bin_204_scaffold_12373_10	CE4(40-145)	-	-	N	1
Meg22_46_Bin_204_scaffold_12373_3	GH4(6-185)	-	-	N	1
Meg22_46_Bin_204_scaffold_12373_5	CE14(8-118)	-	-	N	1
Meg22_46_Bin_204_scaffold_123994_1	GT2_Glycos_transf_2(6-167)	-	-	N	1
Meg22_46_Bin_204_scaffold_124848_1	GH106(21-577)	-	-	N	1
Meg22_46_Bin_204_scaffold_124916_1	PL10_3(49-226)	-	-	N	1
Meg22_46_Bin_204_scaffold_125390_1	GH106(13-782)	-	GH106	N	2
Meg22_46_Bin_204_scaffold_12685_11	CE4(260-383)	-	-	N	1
Meg22_46_Bin_204_scaffold_12685_5	GH33(10-299)	-	-	N	1
Meg22_46_Bin_204_scaffold_1278_6	GH26(113-239)	-	-	N	1
Meg22_46_Bin_204_scaffold_132407_2	CE10(10-282)	-	-	N	1
Meg22_46_Bin_204_scaffold_1325_10	GT26(397-564)	GT26(55)	-	N	2
Meg22_46_Bin_204_scaffold_133849_2	PL33_2(405-552)	PL33(8)	PL33_2	N	3
Meg22_46_Bin_204_scaffold_13440_7	PL15(501-632)	-	PL15	N	2
Meg22_46_Bin_204_scaffold_135479_1	CBM9(40-221)	-	-	N	1
Meg22_46_Bin_204_scaffold_139509_2	CBM9(42-220)	-	-	N	1
Meg22_46_Bin_204_scaffold_14112_3	PL15(488-618)	-	-	N	1
Meg22_46_Bin_204_scaffold_14117_2	GH109(4-110)	-	-	N	1
Meg22_46_Bin_204_scaffold_143989_1	CE7(2-195)	-	-	N	1
Meg22_46_Bin_204_scaffold_144820_6	GT4(1-62)	GT4(34)	-	N	2
Meg22_46_Bin_204_scaffold_146727_1	GT2_Glycos_transf_2(17-119)	-	-	N	1
Meg22_46_Bin_204_scaffold_146727_2	GT4(208-357)	GT4(69)	-	N	2
Meg22_46_Bin_204_scaffold_146727_3	GT4(193-342)	GT4(16)	-	N	2
Meg22_46_Bin_204_scaffold_147579_3	GH33(20-236)	-	-	N	1
Meg22_46_Bin_204_scaffold_1487_18	GT30(50-232)	GT30(14)	-	N	2
Meg22_46_Bin_204_scaffold_1487_21	GT19(7-363)	GT19(22)	-	N	2
Meg22_46_Bin_204_scaffold_1487_6	PL12(549-701)	-	PL12	N	2
Meg22_46_Bin_204_scaffold_15217_1	GH33(31-320)	-	-	N	1
Meg22_46_Bin_204_scaffold_15217_6	GH156(6-424)	-	-	N	1
Meg22_46_Bin_204_scaffold_15245_3	CE15(26-323)	-	-	N	1
Meg22_46_Bin_204_scaffold_15245_6	CE15(30-329)	-	-	N	1
