Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
Meg22_1618_Bin_20_scaffold_1008_12	GH2(28-545)	GH2(8)+CBM42(2)+CBM67(18)	GH2	N	3
Meg22_1618_Bin_20_scaffold_1008_19	CE1(123-333)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_27	GT2_Glycos_transf_2(7-119)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_28	GT4(200-306)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_29	GT2_Glycos_transf_2(4-150)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_31	GT83(100-451)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_33	GT2_Glycos_transf_2(16-178)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_49	CE4(40-145)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_50	CE14(15-125)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_55	GH4(6-192)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1008_6	GH163(216-480)	-	GH163	N	2
Meg22_1618_Bin_20_scaffold_1023_10	GH33(24-314)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1023_2	GH33(25-297)	-	-	N	1
Meg22_1618_Bin_20_scaffold_10240_1	GH163(249-521)	-	-	N	1
Meg22_1618_Bin_20_scaffold_10266_1	GH163(2-209)	-	CBM54	N	2
Meg22_1618_Bin_20_scaffold_1059_4	GH151(26-153)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1059_9	GH151(28-157)	-	GH151	N	2
Meg22_1618_Bin_20_scaffold_1066_41	GT2_Glycos_transf_2(6-167)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1074_20	CE4(104-230)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1074_25	GH106(6-755)	-	GH106	N	2
Meg22_1618_Bin_20_scaffold_10854_3	GH163(439-706)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1089_17	PL17(653-778)	PL17(5)	PL17	N	3
Meg22_1618_Bin_20_scaffold_11223_4	GH39(336-529)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1130_13	PL10_3(113-366)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1130_28	GH141(2-307)	-	GH0	N	2
Meg22_1618_Bin_20_scaffold_1130_3	GH109(4-117)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1130_31	GH165(27-505)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1130_35	CBM9(51-234)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1130_4	GH163(241-501)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1130_48	CE10(55-296)	-	-	N	1
Meg22_1618_Bin_20_scaffold_11381_2	GH29(12-333)	GH29(3)	GH29	N	3
Meg22_1618_Bin_20_scaffold_11381_5	GH63(176-520)	-	-	N	1
Meg22_1618_Bin_20_scaffold_11381_9	CE10(8-249)	-	-	N	1
Meg22_1618_Bin_20_scaffold_11551_6	GH84(452-680)	-	-	N	1
Meg22_1618_Bin_20_scaffold_11669_2	CBM9(1153-1324)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1166_18	GH156(3-502)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1166_19	GH109(4-114)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1166_2	GH109(4-116)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1166_20	GH163(221-488)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1166_7	CBM67(329-477)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1166_9	PL4(21-588)	-	-	N	1
Meg22_1618_Bin_20_scaffold_11875_10	GH23(83-190)	GH23(51)	-	N	2
Meg22_1618_Bin_20_scaffold_1243_17	GH109(6-124)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1243_5	GT35(39-510)	GT35(2)	GT35	N	3
Meg22_1618_Bin_20_scaffold_12461_4	GH5(352-624)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1255_1	CE14(10-116)	-	-	N	1
Meg22_1618_Bin_20_scaffold_12631_3	CBM9(275-460)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1304_20	CE9(11-391)	CE9(65)	-	N	2
Meg22_1618_Bin_20_scaffold_1334_22	GH109(5-117)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1360_12	GH145(63-317)	-	-	N	1
Meg22_1618_Bin_20_scaffold_14059_2	GT2_Glycos_transf_2(7-119)	-	-	N	1
Meg22_1618_Bin_20_scaffold_14059_3	GT2_Glycos_transf_2(47-209)	-	-	N	1
Meg22_1618_Bin_20_scaffold_14059_5	GH141(26-525)	-	GH141	N	2
Meg22_1618_Bin_20_scaffold_1438_26	CE10(49-302)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1438_28	CE15(151-299)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1450_16	GH51(173-630)	GH51(17)	-	N	2
Meg22_1618_Bin_20_scaffold_14528_1	CBM67(5-175)+GH78(261-700)	-	-	N	1
Meg22_1618_Bin_20_scaffold_14528_3	GT2_Glyco_tranf_2_3(5-238)	-	-	N	1
Meg22_1618_Bin_20_scaffold_149_20	GH109(4-117)	-	-	N	1
Meg22_1618_Bin_20_scaffold_149_22	GH116(449-791)	GH116(4)	GH116	N	3
Meg22_1618_Bin_20_scaffold_149_72	CE4(129-250)	CE4(109)	-	N	2
Meg22_1618_Bin_20_scaffold_149_80	GH163(230-490)+CBM9(705-886)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1507_11	GT5(2-468)	GT5(14)	GT5	N	3
Meg22_1618_Bin_20_scaffold_1507_16	GH57(10-472)	GH57(20)	GH57	N	3
Meg22_1618_Bin_20_scaffold_1507_17	GH57(7-475)	GH57(5)	GH57	N	3
Meg22_1618_Bin_20_scaffold_1507_20	GT4(196-353)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1507_21	GT4(202-358)	-	-	N	1
Meg22_1618_Bin_20_scaffold_15203_3	GH165(5-479)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1520_10	GT2_Glycos_transf_2(9-120)	GT2(200)	-	N	2
Meg22_1618_Bin_20_scaffold_1520_13	GT4(190-329)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1520_2	GT4(196-338)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1520_26	PL9(52-323)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1520_3	GT4(194-343)	GT4(149)	-	N	2
Meg22_1618_Bin_20_scaffold_1520_6	GT4(226-379)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1520_7	GT2_Glycos_transf_2(15-125)	GT2(232)	-	N	2
Meg22_1618_Bin_20_scaffold_1520_9	GT2_Glycos_transf_2(15-125)	GT2(51)	-	N	2
Meg22_1618_Bin_20_scaffold_1524_10	GH163(436-682)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1524_4	CBM9(421-576)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1524_7	GH38(94-353)	GH38(6)	GH38	N	3
Meg22_1618_Bin_20_scaffold_1524_8	CE14(8-112)	-	-	N	1
Meg22_1618_Bin_20_scaffold_15321_2	GH140(126-531)	-	GH140	N	2
Meg22_1618_Bin_20_scaffold_1545_11	GH42(109-256)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1545_17	GH165(35-489)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1545_3	GH42(826-956)	-	-	N	1
Meg22_1618_Bin_20_scaffold_15484_4	GH163(198-458)	-	CBM22	N	2
Meg22_1618_Bin_20_scaffold_16169_6	PL12(550-689)	-	PL12	N	2
Meg22_1618_Bin_20_scaffold_1623_22	GT2_Glycos_transf_2(11-178)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1623_24	GH163(222-488)	-	-	N	1
Meg22_1618_Bin_20_scaffold_16535_3	GH163(202-448)	-	-	N	1
Meg22_1618_Bin_20_scaffold_16566_2	PL15(487-617)	-	-	N	1
Meg22_1618_Bin_20_scaffold_16571_4	GH109(7-121)	-	-	N	1
Meg22_1618_Bin_20_scaffold_16631_2	PL15(500-631)	-	PL15	N	2
Meg22_1618_Bin_20_scaffold_1665_3	GT2_Glycos_transf_2(6-164)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1665_42	GH109(4-116)	-	-	N	1
Meg22_1618_Bin_20_scaffold_16982_2	CE14(9-118)	-	-	N	1
Meg22_1618_Bin_20_scaffold_16982_5	CE4(14-128)	-	-	N	1
Meg22_1618_Bin_20_scaffold_17595_3	CBM9(58-204)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1791_12	GT30(51-230)	GT30(15)	-	N	2
Meg22_1618_Bin_20_scaffold_1791_9	GT19(8-365)	GT19(17)	-	N	2
Meg22_1618_Bin_20_scaffold_1851_15	GH165(624-981)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1851_2	GH123(46-512)	-	GH123	N	2
Meg22_1618_Bin_20_scaffold_19275_2	GH151(27-160)	GH151(1)	GH151	N	3
Meg22_1618_Bin_20_scaffold_19275_3	GH163(235-492)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1951_14	GT4(230-384)	-	-	N	1
Meg22_1618_Bin_20_scaffold_1951_2	GH29(20-335)	GH29(51)	GH29	N	3
Meg22_1618_Bin_20_scaffold_20133_3	GH151(35-155)	-	GH0	N	2
Meg22_1618_Bin_20_scaffold_2039_10	PL9(22-200)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2039_11	PL9_2(22-153)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2230_19	PL10_3(172-312)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2230_6	GH33(70-346)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2230_7	GH38(15-298)	-	-	N	1
Meg22_1618_Bin_20_scaffold_23160_3	CE7(141-436)	-	-	N	1
Meg22_1618_Bin_20_scaffold_23160_5	GH163(231-505)	-	-	N	1
Meg22_1618_Bin_20_scaffold_24040_4	GH141(31-540)	GH141(5)	GH141	N	3
Meg22_1618_Bin_20_scaffold_2509_14	GH165(6-630)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2509_5	PL34(497-679)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2509_7	GH5(55-283)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2550_26	PL10_3(115-407)	PL10(6)	PL10_3	N	3
Meg22_1618_Bin_20_scaffold_2571_15	GH109(5-120)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2571_25	GH163(212-467)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2571_27	GH33(62-361)	GH33(49)	GH33	N	3
Meg22_1618_Bin_20_scaffold_2597_3	GH163(227-484)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2597_4	PL11(276-588)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2597_8	GH163(209-461)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2597_9	GH163(221-479)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2624_3	GH163(212-471)	GH163(4)	GH163	N	3
Meg22_1618_Bin_20_scaffold_2624_4	CBM9(42-222)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2639_10	GH29(7-318)	GH29(56)	-	N	2
Meg22_1618_Bin_20_scaffold_2639_12	GH163(220-473)	-	GH163	N	2
Meg22_1618_Bin_20_scaffold_2639_9	GH163(210-467)	-	GH163	N	2
Meg22_1618_Bin_20_scaffold_2747_2	GH32(50-333)	-	GH32	N	2
Meg22_1618_Bin_20_scaffold_2845_12	GH156(41-500)	-	-	N	1
Meg22_1618_Bin_20_scaffold_286_21	GH109(5-116)	-	-	N	1
Meg22_1618_Bin_20_scaffold_286_34	GH156(5-449)	-	-	N	1
Meg22_1618_Bin_20_scaffold_286_54	GT83(110-397)	-	-	N	1
Meg22_1618_Bin_20_scaffold_29192_5	GH163(227-505)	-	-	N	1
Meg22_1618_Bin_20_scaffold_2942_13	GH109(6-114)	-	-	N	1
Meg22_1618_Bin_20_scaffold_3032_13	CBM9(39-194)	-	-	N	1
