Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
Meg22_810_Bin_154_2_1_scaffold_10293_14	GH20(56-239)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_10293_6	GT9(92-329)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_104676_4	GH38(28-267)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_10495_2	CE14(10-113)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_10518_13	GT51(66-234)	GT51(23)	GT51	N	3
Meg22_810_Bin_154_2_1_scaffold_10518_5	GH109(16-128)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_105294_2	GT2_Glycos_transf_2(182-292)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_117422_2	GH136(4-403)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_117422_3	GH42(1-334)+GH164(186-597)	-	GH42	N	2
Meg22_810_Bin_154_2_1_scaffold_119767_4	GH42(117-286)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_121283_2	GT4(64-182)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_127047_3	GT4(209-361)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_129125_1	GH4(10-186)	GH4(1)	GH4	N	3
Meg22_810_Bin_154_2_1_scaffold_133581_2	CE9(7-377)	CE9(2)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_133598_4	GH2(3-536)	GH2(71)+CBM32(36)+CBM35(33)+CBM71(1)	GH2	N	3
Meg22_810_Bin_154_2_1_scaffold_133942_3	GH130(25-267)	GH130(14)	GH130	N	3
Meg22_810_Bin_154_2_1_scaffold_135694_2	GH127(17-550)	GH127(1)	GH127	N	3
Meg22_810_Bin_154_2_1_scaffold_136521_1	GH116(243-541)	GH116(4)+CBM38(4)	GH116	N	3
Meg22_810_Bin_154_2_1_scaffold_136665_2	GT2_Glycos_transf_2(4-150)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_138628_2	GH130(1-264)	GH130(1)	GH130	N	3
Meg22_810_Bin_154_2_1_scaffold_15038_5	GH35(264-478)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_150815_1	GH10(221-497)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_15809_10	GT28(51-214)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_158355_1	CBM9(68-200)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_163110_1	GT2_Glycos_transf_2(8-97)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_163110_2	GT2_Glycos_transf_2(7-137)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_172717_2	GT9(334-583)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_17644_1	CE1(2-166)	CE0(17)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_17644_10	GH30_5(33-489)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_17644_4	GH53(15-335)	GH53(9)+CBM61(12)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_17644_9	GH30_5(35-489)	GH30(16)+CBM13(11)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_18165_9	GH136(41-513)	GH136(1)+CBM66(11)	GH136	N	3
Meg22_810_Bin_154_2_1_scaffold_188672_3	GT2_Glycos_transf_2(9-136)	GT2(201)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_19802_4	AA4(10-218)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_19802_5	AA4(6-226)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_210685_2	GT2_Glyco_tranf_2_3(8-228)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_226959_2	GH129(27-565)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_22903_9	GH5_36(12-296)	GH5(113)	GH5_36	N	3
Meg22_810_Bin_154_2_1_scaffold_231552_1	GH136(205-499)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_232231_2	GH30(235-608)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_23862_2	GH94(46-804)	-	GH94	N	2
Meg22_810_Bin_154_2_1_scaffold_23862_4	GH106(6-698)	GH106(6)	GH106	N	3
Meg22_810_Bin_154_2_1_scaffold_24209_7	GH23(222-329)	GH23(51)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_24268_7	GH50(85-432)	GH50(8)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_24374_2	CBM9(18-220)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_25261_4	GT2_Glycos_transf_2(45-204)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_25494_6	CE11(7-271)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_25494_9	GT19(2-356)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_25701_2	GT83(11-509)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_25753_5	GH50(46-299)+GH50(301-655)	GH50(3)	GH50	N	3
Meg22_810_Bin_154_2_1_scaffold_25959_1	GT4(114-259)	GT4(170)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_26362_11	GT2_Glycos_transf_2(10-128)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_26975_8	CE7(4-316)	CE7(4)	CE7	N	3
Meg22_810_Bin_154_2_1_scaffold_29834_3	GH38(247-496)	GH38(26)	GH38	N	3
Meg22_810_Bin_154_2_1_scaffold_29869_3	GH163(562-820)	-	GH163	N	2
Meg22_810_Bin_154_2_1_scaffold_31601_4	GT2_Glyco_tranf_2_3(5-204)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_32487_2	GH29(11-278)	GH29(3)	GH29	N	3
Meg22_810_Bin_154_2_1_scaffold_32487_4	GT26(413-581)	GT26(22)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_32717_4	GH2(2-714)	GH2(31)	GH2	N	3
Meg22_810_Bin_154_2_1_scaffold_33418_8	GT2_Glyco_tranf_2_3(4-229)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_36759_2	GH130(6-332)	GH130(22)	GH130	N	3
Meg22_810_Bin_154_2_1_scaffold_36759_6	GH43_24(29-211)	GH43(28)+CBM13(10)	-	N	2
Meg22_810_Bin_154_2_1_scaffold_37752_4	GH4(7-181)	GH4(22)	GH4	N	3
Meg22_810_Bin_154_2_1_scaffold_37857_1	CE10(101-273)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_38444_6	GT2_Glycos_transf_2(4-100)	-	-	N	1
Meg22_810_Bin_154_2_1_scaffold_38749_3	GT2_Glycos_transf_2(7-127)	-	-	N	1
